,price,year,area,rooms,floor,tot_floors,cent_heat,rem_heat,intercom,internet,cable,sewer,aircon,elevator,new,parking,basement,phone,terrace,being_built,papers,enterable,euro_per_sqm,latitude,longitude,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
22,78705.0,2017.0,53.0,3.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1485.0,44.8296067,20.2991227,0,0,0,0,0,0,0,0,0,0,0,1,0
23,310000.0,2004.0,178.0,4.0,3.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1741.57303371,44.782107,20.4700167,0,0,0,0,0,0,0,0,1,0,0,0,0
24,75600.0,2017.0,42.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1800.0,44.8073454,20.4977595,0,0,0,0,0,0,0,0,0,0,0,1,0
25,154000.0,1993.0,87.0,3.0,2.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1770.11494253,44.8079751,20.4796074,0,0,0,1,0,0,0,0,0,0,0,0,0
26,54000.0,1964.0,59.0,2.5,4.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,915.254237288,44.8100401,20.5194861,0,0,0,1,0,0,0,0,0,0,0,0,0
27,117000.0,1936.0,72.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1625.0,44.8114541,20.4543768,0,0,0,0,0,1,0,0,0,0,0,0,0
28,450000.0,1936.0,140.0,5.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3214.28571429,44.6546284,20.1989632,0,0,0,0,0,0,1,0,0,0,0,0,0
29,155000.0,1969.0,75.0,2.5,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2066.66666667,44.8178131,20.4568974,0,1,0,0,0,0,0,0,0,0,0,0,0
30,51203.0,2017.0,34.0,2.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1505.97058824,44.8296067,20.2991227,0,0,0,0,0,0,0,0,0,0,0,1,0
31,98010.0,2017.0,66.0,4.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1485.0,44.8296067,20.2991227,0,0,0,0,0,0,0,0,0,0,0,1,0
32,98010.0,2017.0,66.0,4.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1485.0,44.8296067,20.2991227,0,0,0,0,0,0,0,0,0,0,0,1,0
33,65340.0,2017.0,44.0,2.0,2.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1485.0,44.8296067,20.2991227,0,0,0,0,0,0,0,0,0,0,0,1,0
34,98010.0,2017.0,66.0,4.0,2.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1485.0,44.8296067,20.2991227,0,0,0,0,0,0,0,0,0,0,0,1,0
35,63900.0,2017.0,43.0,2.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1486.04651163,44.8296067,20.2991227,0,0,0,0,0,0,0,0,0,0,0,1,0
36,77547.0,2017.0,52.0,3.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1491.28846154,44.8296067,20.2991227,0,0,0,0,0,0,0,0,0,0,0,1,0
