"_type","features","main_data","raw_info"
"dict","Uknjiženo,Telefon,Lift,Parking,Centralno grejanje,Terasa,Interfon,Podrum","stan,129900.00 EUR,78.00 m,2,Beograd,Stari grad,Dorćol,Dunavski kej,2,6,3.5,1988","Tip: ,stan, ,Cena: ,129900.00 EUR, ,Površina: ,78.00 m,2, ,Grad: ,Beograd, ,Opština: ,Stari grad, ,Deo: ,Dorćol, ,Ulica: ,Dunavski kej, ,Sprat: ,2, ,Spratnost: ,6, ,Soba: ,3.5, ,Godina izgradnje: ,1988, ,Ana,011/334 88 36,065/303 94 39,http://www.kvadratnekretnine.com"
"dict","Uknjiženo,Telefon,Lift,Centralno grejanje,Terasa,Interfon,Podrum","stan,330000.00 EUR,157.00 m,2,Beograd,Stari grad,Dorćol,Miće Popovića,5,5,3,2008","Tip: ,stan, ,Cena: ,330000.00 EUR, ,Površina: ,157.00 m,2, ,Grad: ,Beograd, ,Opština: ,Stari grad, ,Deo: ,Dorćol, ,Ulica: ,Miće Popovića, ,Sprat: ,5, ,Spratnost: ,5, ,Soba: ,3, ,Godina izgradnje: ,2008, ,Ana,011/334 88 36,065/303 94 39,http://www.kvadratnekretnine.com"
"dict","Uknjiženo,Telefon,Parking,Centralno grejanje,Interfon","stan,209000.00 EUR,110.00 m,2,Beograd,Stari grad,Gornji Dorćol,Gospodar Jevremova,4,5,3","Tip: ,stan, ,Cena: ,209000.00 EUR, ,Površina: ,110.00 m,2, ,Grad: ,Beograd, ,Opština: ,Stari grad, ,Deo: ,Gornji Dorćol, ,Ulica: ,Gospodar Jevremova, ,Sprat: ,4, ,Spratnost: ,5, ,Soba: ,3, ,Ana,011/334 88 36,065/303 94 39,http://www.kvadratnekretnine.com"
"dict","Uknjiženo,Telefon,Interfon,Podrum","stan,250000.00 EUR,110.00 m,2,Beograd,Stari grad,Trg Republike,Makedonska,2,4,4","Tip: ,stan, ,Cena: ,250000.00 EUR, ,Površina: ,110.00 m,2, ,Grad: ,Beograd, ,Opština: ,Stari grad, ,Deo: ,Trg Republike, ,Ulica: ,Makedonska, ,Sprat: ,2, ,Spratnost: ,4, ,Soba: ,4, ,Ana,011/334 88 36,065/303 94 39,http://www.kvadratnekretnine.com"
"dict","Uknjiženo,Telefon,Lift,Centralno grejanje,Interfon","stan,399000.00 EUR,179.00 m,2,Beograd,Stari grad,Centar (Stari grad),Terazije,1,6,5,1934","Tip: ,stan, ,Cena: ,399000.00 EUR, ,Površina: ,179.00 m,2, ,Grad: ,Beograd, ,Opština: ,Stari grad, ,Deo: ,Centar (Stari grad), ,Ulica: ,Terazije, ,Sprat: ,1, ,Spratnost: ,6, ,Soba: ,5, ,Godina izgradnje: ,1934, ,Ana,011/334 88 36,065/303 94 39,http://www.kvadratnekretnine.com"
"dict","Uknjiženo,Telefon,Lift,Parking,Centralno grejanje,Terasa,Interfon,Podrum","stan,199990.00 EUR,125.00 m,2,Beograd,Novi Beograd,Blok 63,Evropska,5,5,4,2015","Tip: ,stan, ,Cena: ,199990.00 EUR, ,Površina: ,125.00 m,2, ,Grad: ,Beograd, ,Opština: ,Novi Beograd, ,Deo: ,Blok 63, ,Ulica: ,Evropska, ,Sprat: ,5, ,Spratnost: ,5, ,Soba: ,4, ,Godina izgradnje: ,2015, ,Ana,011/334 88 36,065/303 94 39,http://www.kvadratnekretnine.com"
"dict","Uknjiženo,Telefon,Lift,Centralno grejanje,Terasa,Interfon","stan,440000.00 EUR,187.00 m,2,Beograd,Vračar,Kalenić pijaca,Njegoševa,1,6,4.5,1954","Tip: ,stan, ,Cena: ,440000.00 EUR, ,Površina: ,187.00 m,2, ,Grad: ,Beograd, ,Opština: ,Vračar, ,Deo: ,Kalenić pijaca, ,Ulica: ,Njegoševa, ,Sprat: ,1, ,Spratnost: ,6, ,Soba: ,4.5, ,Godina izgradnje: ,1954, ,Ana,011/334 88 36,065/303 94 39,http://www.kvadratnekretnine.com"
"dict","Uknjiženo,Terasa,Podrum","stan,244000.00 EUR,140.00 m,2,Beograd,Vračar,Neimar,Internacionalnih brigada,1,4,1930","Tip: ,stan, ,Cena: ,244000.00 EUR, ,Površina: ,140.00 m,2, ,Grad: ,Beograd, ,Opština: ,Vračar, ,Deo: ,Neimar, ,Ulica: ,Internacionalnih brigada, ,Spratnost: ,1, ,Soba: ,4, ,Godina izgradnje: ,1930, ,Ana,011/334 88 36,065/303 94 39,http://www.kvadratnekretnine.com"
"dict","Uknjiženo,Telefon,Lift,Centralno grejanje,Terasa,Interfon","stan,490000.00 EUR,250.00 m,2,Beograd,Vračar,Kalenić pijaca,Ljubostinjska,3,5,5,2000","Tip: ,stan, ,Cena: ,490000.00 EUR, ,Površina: ,250.00 m,2, ,Grad: ,Beograd, ,Opština: ,Vračar, ,Deo: ,Kalenić pijaca, ,Ulica: ,Ljubostinjska, ,Sprat: ,3, ,Spratnost: ,5, ,Soba: ,5, ,Godina izgradnje: ,2000, ,Ana,011/334 88 36,065/303 94 39,http://www.kvadratnekretnine.com"
"dict","Uknjiženo,Parking,Centralno grejanje,Terasa","stan,360000.00 EUR,164.00 m,2,Beograd,Vračar,Hram Svetog Save,Svetog Save,3,3,3,2003","Tip: ,stan, ,Cena: ,360000.00 EUR, ,Površina: ,164.00 m,2, ,Grad: ,Beograd, ,Opština: ,Vračar, ,Deo: ,Hram Svetog Save, ,Ulica: ,Svetog Save, ,Sprat: ,3, ,Spratnost: ,3, ,Soba: ,3, ,Godina izgradnje: ,2003, ,Premija nekretnine,011/7151-990,064/2180-990,www.premijanekretnine.com"
"dict","Uknjiženo,Terasa,Podrum","stan,170000.00 EUR,120.00 m,2,Beograd,Vračar,Kalenić pijaca,Maksima Gorkog,1,4,4","Tip: ,stan, ,Cena: ,170000.00 EUR, ,Površina: ,120.00 m,2, ,Grad: ,Beograd, ,Opština: ,Vračar, ,Deo: ,Kalenić pijaca, ,Ulica: ,Maksima Gorkog, ,Sprat: ,1, ,Spratnost: ,4, ,Soba: ,4, ,Premija nekretnine,011/7151-990,064/2180-990,www.premijanekretnine.com"
"dict","Uknjiženo,Telefon,Kablovska,Lift,Terasa,Interfon,Podrum","stan,167000.00 EUR,94.00 m,2,Beograd,Stari grad,Centar (Stari grad),Svetogorska,2,4,3,1927","Tip: ,stan, ,Cena: ,167000.00 EUR, ,Površina: ,94.00 m,2, ,Grad: ,Beograd, ,Opština: ,Stari grad, ,Deo: ,Centar (Stari grad), ,Ulica: ,Svetogorska, ,Sprat: ,2, ,Spratnost: ,4, ,Soba: ,3, ,Godina izgradnje: ,1927, ,Premija nekretnine,011/7151-990,064/2180-990,www.premijanekretnine.com"
"dict","Uknjiženo,Lift,Parking,Centralno grejanje,Terasa,Podrum","stan,246000.00 EUR,113.00 m,2,Beograd,Vračar,Prote Mateje,1,4,4","Tip: ,stan, ,Cena: ,246000.00 EUR, ,Površina: ,113.00 m,2, ,Grad: ,Beograd, ,Opština: ,Vračar, ,Ulica: ,Prote Mateje, ,Sprat: ,1, ,Spratnost: ,4, ,Soba: ,4, ,Premija nekretnine,011/7151-990,064/2180-990,www.premijanekretnine.com"
"dict","Uknjiženo,Lift,Parking,Centralno grejanje,Novogradnja,Terasa,Podrum","stan,125000.00 EUR,53.00 m,2,Beograd,Vračar,Kalenić pijaca,Mlatišumina,5,2","Tip: ,stan, ,Cena: ,125000.00 EUR, ,Površina: ,53.00 m,2, ,Grad: ,Beograd, ,Opština: ,Vračar, ,Deo: ,Kalenić pijaca, ,Ulica: ,Mlatišumina, ,Spratnost: ,5, ,Soba: ,2, ,Premija nekretnine,011/7151-990,064/2180-990,www.premijanekretnine.com"
