,price,part,year,district,area,rooms,floor,tot_floors,type,street,cent_heat,rem_heat,intercom,internet,cable,sewer,aircon,elevator,new,parking,basement,phone,terrace,being_built,papers,enterable,euro_per_sqm,location_string,coordinates
533,84000.0,Đeram pijaca,2016.0,Zvezdara,62.0,2.5,3,4,stan,Banjska,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1354.83870968,"Banjska, Beograd","(44.8040088, 20.4853169)"
541,65000.0,Mirijevo,2013.0,Zvezdara,53.0,2.0,,3,stan,Rableova,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1226.41509434,"Rableova, Beograd","(44.7872778, 20.5343469)"
542,230000.0,Dušanovac,2016.0,Voždovac,100.0,5.0,3,4,stan,Braće Kovač,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2300.0,"Braće Kovač, Beograd","(44.7861289, 20.4840942)"
545,45000.0,Mirijevo 1,2017.0,Zvezdara,45.0,3.0,1,3,stan,Mirijevski Bulevar,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1000.0,"Mirijevski Bulevar, Beograd","(44.8021402, 20.5260539)"
546,133000.0,Centar (Vračar),1970.0,Vračar,85.0,3.0,,6,stan,Smiljanićeva,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1564.70588235,"Smiljanićeva, Beograd","(44.8026973, 20.4704743)"
555,46500.0,Braće Jerković,2016.0,Voždovac,45.0,2.0,2,3,stan,Vojvode Vlahovića,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1033.33333333,"Vojvode Vlahovića, Beograd","(44.7632873, 20.504213)"
556,54400.0,Batajnica,2012.0,Zemun,71.0,2.5,1,3,stan,Žarka Obreškog,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,766.197183099,"Žarka Obreškog, Beograd","(44.8973168, 20.2983967)"
557,49000.0,,2002.0,Rakovica,60.0,2.5,,6,stan,Slavka Rodića,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,816.666666667,"Slavka Rodića, Beograd","(44.7394843, 20.431236)"
558,106400.0,Dorćol,1968.0,Stari grad,56.0,2.0,6,6,stan,Cara Dušana,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1900.0,"Cara Dušana, Beograd","(44.8490121, 20.4030584)"
559,72000.0,FON,2002.0,Voždovac,47.0,2.0,3,4,stan,Bilećka,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1531.91489362,"Bilećka, Beograd","(44.7628579, 20.5431462)"
560,155000.0,Blok 33,1969.0,Novi Beograd,81.0,2.5,1,4,stan,Bulevar Arsenija Čarnojevića,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1913.58024691,"Bulevar Arsenija Čarnojevića, Beograd","(44.8163081, 20.4116307)"
561,115900.0,Golf naselje,2016.0,Čukarica,61.0,2.5,3,6,stan,Praška,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1900.0,"Praška, Beograd","(44.7750805, 20.4171951)"
563,75000.0,Cerak,1980.0,Čukarica,73.0,2.5,,3,stan,Šavnička,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1027.39726027,"Šavnička, Beograd","(44.7534885, 20.4232677)"
564,24000.0,Altina,2012.0,Zemun,23.0,0.5,3,4,stan,Ugrinovački put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1043.47826087,"Ugrinovački put, Beograd","(44.850996, 20.3659363)"
567,33500.0,Vidikovac,2010.0,Rakovica,41.0,2.5,5,5,stan,Mome Stanojlovića,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,817.073170732,"Mome Stanojlovića, Beograd","(44.7358662, 20.4280062)"
570,274000.0,Hram Svetog Save,2013.0,Vračar,112.0,3.0,3,4,stan,Dubljanska,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2446.42857143,"Dubljanska, Beograd","(44.7959198, 20.4709548)"
572,513000.0,Hram Svetog Save,2013.0,Vračar,216.0,4.0,3,4,stan,Dubljanska,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2375.0,"Dubljanska, Beograd","(44.7959198, 20.4709548)"
573,102960.0,Cvetkova pijaca,2017.0,Zvezdara,72.0,3.0,1,6,stan,Gusinjska,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1430.0,"Gusinjska, Beograd","(44.7852871, 20.5151294)"
574,114400.0,Cvetkova pijaca,2017.0,Zvezdara,80.0,3.0,1,6,stan,Gusinjska,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1430.0,"Gusinjska, Beograd","(44.7852871, 20.5151294)"
575,148500.0,Cvetkova pijaca,2017.0,Zvezdara,100.0,4.0,3,6,stan,Gusinjska,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1485.0,"Gusinjska, Beograd","(44.7852871, 20.5151294)"
576,60000.0,Julino brdo,1983.0,Čukarica,60.0,2.0,,4,stan,Zmajevačka,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1000.0,"Zmajevačka, Beograd","(44.76187, 20.4070903)"
577,108000.0,Dorćol,1940.0,Stari grad,66.0,2.5,3,4,stan,Gundulićev venac,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1636.36363636,"Gundulićev venac, Beograd","(44.8200861, 20.4693562)"
578,67000.0,Skojevsko naselje,2010.0,Rakovica,71.0,2.5,2,3,stan,Vodice,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,943.661971831,"Vodice, Beograd","(44.7484829, 20.4363009)"
579,63011.0,Braće Jerković,1964.0,Voždovac,61.0,2.0,2,6,stan,Braće Jerković,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1032.96721311,"Braće Jerković, Beograd","(44.7682225, 20.4923785)"
590,46000.0,Braće Jerković,2007.0,Voždovac,40.0,2.0,5,6,stan,Dragice Koncar,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1150.0,"Dragice Koncar, Beograd","(44.7704302, 20.4947217)"
592,42000.0,Mali Mokri Lug,2011.0,Zvezdara,42.0,1.5,,2,stan,Veselina Čajkanovića,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1000.0,"Veselina Čajkanovića, Beograd","(44.7650059, 20.5079432)"
593,67500.0,,1948.0,Savski Venac,52.0,2.0,,4,stan,Humska,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1298.07692308,"Humska, Beograd","(44.7896265, 20.4599309)"
594,95000.0,Medaković 3,1982.0,Voždovac,89.0,5.0,2,6,stan,Brace Srnic,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1067.41573034,"Brace Srnic, Beograd","(44.7723595, 20.5073909)"
597,44900.0,Ledine,2017.0,Novi Beograd,46.0,2.0,1,2,stan,Surcinska,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,976.086956522,"Surcinska, Beograd","(44.8059367, 20.3639002)"
598,41000.0,Braće Jerković,2015.0,Voždovac,47.0,2.0,3,3,stan,Vojvode Vlahovića 52s,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,872.340425532,"Vojvode Vlahovića 52s, Beograd","(44.76035865, 20.50187135)"
600,239000.0,Hram Svetog Save,2013.0,Vračar,97.0,3.0,3,4,stan,Dubljanska,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2463.91752577,"Dubljanska, Beograd","(44.7959198, 20.4709548)"
605,165000.0,Kalenić pijaca,1985.0,Vračar,102.0,3.0,1,4,stan,Tomaša Ježa,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1617.64705882,"Tomaša Ježa, Beograd","(44.8003056, 20.4788653)"
606,112000.0,Čukarička padina,1993.0,Čukarica,91.0,3.0,6,7,stan,Pozeska,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1230.76923077,"Pozeska, Beograd","(44.7852527, 20.4317754)"
607,54000.0,Karaburma,1996.0,Palilula,47.0,2.0,,,stan,Marijane Gregoran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1148.93617021,"Marijane Gregoran, Beograd","(44.8129398, 20.5182222)"
608,40800.0,Cerak,2003.0,Čukarica,40.0,1.5,1,5,stan,Šavnička,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1020.0,"Šavnička, Beograd","(44.7534885, 20.4232677)"
609,48000.0,Gornji grad,2017.0,Zemun,40.0,1.5,2,3,stan,Ugrinovačka,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1200.0,"Ugrinovačka, Beograd","(44.8450255, 20.4027266)"
614,35000.0,Lion,1960.0,Zvezdara,34.0,2.0,,,stan,Đevđelijska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1029.41176471,"Đevđelijska, Beograd","(44.7987584, 20.4959787)"
615,89000.0,Blok 33,1975.0,Novi Beograd,89.0,3.0,,,stan,,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1000.0,"Blok 33, Beograd","(44.8178131, 20.4568974)"
616,56000.0,Gornji grad,2014.0,Zemun,42.0,1.5,3,4,stan,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1333.33333333,"Gornji grad, Beograd","(44.8518881, 20.3917208)"
618,62900.0,Gornji grad,1965.0,Zemun,84.0,3.0,,1,stan,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,748.80952381,"Gornji grad, Beograd","(44.8518881, 20.3917208)"
619,139000.0,Gornji Dorćol,1923.0,Stari grad,103.0,4.0,,,stan,Strahinjića bana,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1349.51456311,"Strahinjića bana, Beograd","(44.4482103, 20.6873929)"
621,110000.0,Blok 62,1987.0,Novi Beograd,85.0,3.5,13,15,stan,Jurija Gagarina,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1294.11764706,"Jurija Gagarina, Beograd","(44.8034943, 20.4234044)"
623,82000.0,Mirijevo,1990.0,Zvezdara,100.0,4.0,5,5,stan,Ulofa Palmea,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,820.0,"Ulofa Palmea, Beograd","(44.7887891, 20.5391273)"
624,43000.0,Železnik,1975.0,Čukarica,50.0,2.0,1,10,stan,Stjepana Supanca,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,860.0,"Stjepana Supanca, Beograd","(44.7301034, 20.3801208)"
629,49500.0,Višnjička banja,1985.0,Palilula,57.0,2.0,2,4,stan,visnjicki venac,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,868.421052632,"visnjicki venac, Beograd","(44.8167598, 20.5347772)"
632,67000.0,Braće Jerković,1975.0,Voždovac,63.0,2.0,2,4,stan,Dragice Končar,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1063.49206349,"Dragice Končar, Beograd","(44.7704302, 20.4947217)"
637,109000.0,Blok 61,1975.0,Novi Beograd,91.0,3.5,2,3,stan,Jurija Gagarina,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1197.8021978,"Jurija Gagarina, Beograd","(44.8034943, 20.4234044)"
638,120000.0,FON,2016.0,Voždovac,56.0,2.0,1,5,stan,Mosorska,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2142.85714286,"Mosorska, Beograd","(44.7652737, 20.4795296)"
639,295000.0,Dedinje,2010.0,Savski Venac,135.0,4.0,,2,stan,Aleksandra Tirnanića Tirketa,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2185.18518519,"Aleksandra Tirnanića Tirketa, Beograd","(44.7585521, 20.452319)"
641,43440.0,,2017.0,Zvezdara,46.0,2.0,-2,,stan,Svetog Nikole,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,944.347826087,"Svetog Nikole, Beograd","(44.8296067, 20.2991227)"
642,250000.0,,1938.0,Stari grad,115.0,3.5,5,6,stan,Vlajkovićeva,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2173.91304348,"Vlajkovićeva, Beograd","(44.8127129, 20.465598)"
643,51000.0,Braće Jerković,1968.0,Voždovac,61.0,2.0,,5,stan,Braće Jerković,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,836.06557377,"Braće Jerković, Beograd","(44.7682225, 20.4923785)"
644,66000.0,Cvetkova pijaca,2010.0,Zvezdara,53.0,1.5,,4,stan,Braće Miladinov,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1245.28301887,"Braće Miladinov, Beograd","(44.7921003, 20.5015632)"
645,69011.0,Naselje Dr. Ivana Ribara,1991.0,Novi Beograd,58.0,2.0,3,6,stan,Dr Ivana Ribara,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1189.84482759,"Dr Ivana Ribara, Beograd","(44.7984109, 20.3688457)"
646,60000.0,Batajnica,2016.0,Zemun,59.0,3.0,,3,stan,Kralja Radoslava,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1016.94915254,"Kralja Radoslava, Beograd","(44.9036969, 20.2750064)"
650,25000.0,Braće Jerković,2004.0,Voždovac,26.0,1.0,4,5,stan,Ignjata Joba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,961.538461538,"Ignjata Joba, Beograd","(44.7702936, 20.501408)"
654,161500.0,Hram Svetog Save,1939.0,Vračar,113.0,5.0,3,3,stan,Stojana Protića,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1429.20353982,"Stojana Protića, Beograd","(44.7965544, 20.4721175)"
656,24310.0,,2017.0,Zvezdara,26.0,1.0,-2,,stan,Svetog Nikole,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,935.0,"Svetog Nikole, Beograd","(44.8296067, 20.2991227)"
657,38000.0,Kneževac,2007.0,Rakovica,52.0,2.5,,2,stan,Prvoboraca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,730.769230769,"Prvoboraca, Beograd","(44.7332852, 20.4266293)"
658,41140.0,,2017.0,Zvezdara,44.0,2.0,-2,,stan,Svetog Nikole,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,935.0,"Svetog Nikole, Beograd","(44.8296067, 20.2991227)"
659,43206.0,,2017.0,Zvezdara,46.0,2.0,-2,,stan,Svetog Nikole,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,939.260869565,"Svetog Nikole, Beograd","(44.8296067, 20.2991227)"
660,199000.0,Hram Svetog Save,1990.0,Vračar,86.0,3.0,1,6,stan,Ohridska,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2313.95348837,"Ohridska, Beograd","(44.3876674, 20.2663155)"
661,43200.0,Gornji grad,2017.0,Zemun,36.0,1.0,1,3,stan,Ugrinovacka,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1200.0,"Ugrinovacka, Beograd","(44.8450255, 20.4027266)"
662,230000.0,Centar (Stari grad),1935.0,Stari grad,106.0,4.0,2,4,stan,Vlajkoviceva,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2169.81132075,"Vlajkoviceva, Beograd","(44.8127129, 20.465598)"
663,85000.0,Banjica,1973.0,Voždovac,75.0,2.5,4,24,stan,Crnotravska 11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1133.33333333,"Crnotravska 11, Beograd","(44.7609321, 20.4760271)"
664,45000.0,Autokomanda,2014.0,Voždovac,25.0,1.0,1,6,stan,Jove Ilica 49,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1800.0,"Jove Ilica 49, Beograd","(44.7826894, 20.4697743726994)"
665,210000.0,Hram Svetog Save,2017.0,Vračar,84.0,3.0,,4,stan,Sokolska,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2500.0,"Sokolska, Beograd","(44.7980818, 20.4730135)"
666,115000.0,Hram Svetog Save,2017.0,Vračar,46.0,2.0,,4,stan,Sokolska,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2500.0,"Sokolska, Beograd","(44.7980818, 20.4730135)"
667,260000.0,Gornji Dorćol,1938.0,Stari grad,110.0,4.0,2,3,stan,Strahinjića Bana,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2363.63636364,"Strahinjića Bana, Beograd","(44.4482103, 20.6873929)"
668,220900.0,Neimar,2008.0,Vračar,94.0,4.0,3,4,stan,Janka Veselinovića,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2350.0,"Janka Veselinovića, Beograd","(44.380152, 20.2471334)"
669,107000.0,Blok 70,1975.0,Novi Beograd,96.0,3.5,10,,stan,Jurija Gagarina,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1114.58333333,"Jurija Gagarina, Beograd","(44.8034943, 20.4234044)"
672,33000.0,,2008.0,Rakovica,39.0,1.5,2,5,stan,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,846.153846154,"Rakovica, Beograd","(44.7463363, 20.4403105)"
673,159000.0,Lion,2017.0,Zvezdara,69.0,2.5,2,8,stan,Vojislava Ilića,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2304.34782609,"Vojislava Ilića, Beograd","(44.7924687, 20.4964823)"
674,66000.0,Konjarnik,2008.0,Zvezdara,66.0,3.0,4,4,stan,Mihaila Todorovića,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1000.0,"Mihaila Todorovića, Beograd","(44.7802457, 20.5110008)"
675,110000.0,Gradska bolnica,2000.0,Zvezdara,72.0,2.0,4,8,stan,Križanićeva,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1527.77777778,"Križanićeva, Beograd","(44.7899344, 20.5018067)"
676,122500.0,Klinički centar,1956.0,Savski Venac,73.0,3.0,4,6,stan,Sarajevska,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1678.08219178,"Sarajevska, Beograd","(44.803751, 20.4551533)"
677,122500.0,Klinički centar,1956.0,Savski Venac,73.0,3.0,4,6,stan,Sarajevska,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1678.08219178,"Sarajevska, Beograd","(44.803751, 20.4551533)"
678,176000.0,Arena,2010.0,Novi Beograd,88.0,3.0,3,6,stan,Antifasisticke borbe,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2000.0,"Antifasisticke borbe, Beograd","(44.8040522, 20.4174053)"
679,179000.0,Hram Svetog Save,1980.0,Vračar,75.0,3.0,3,6,stan,Svetog Save,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2386.66666667,"Svetog Save, Beograd","(44.8315094, 20.3182902)"
681,142000.0,Senjak,2018.0,Savski Venac,71.0,3.0,1,3,stan,Vase Pelagića,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2000.0,"Vase Pelagića, Beograd","(44.8365557, 20.4029958)"
683,47000.0,Cerak,2002.0,Čukarica,61.0,3.0,5,5,stan,Venčačka,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,770.491803279,"Venčačka, Beograd","(44.3697292, 20.2782276)"
684,39000.0,Vukov spomenik,1917.0,Zvezdara,26.0,1.0,2,2,stan,Ruzveltova,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1500.0,"Ruzveltova, Beograd","(44.807974, 20.4820019)"
688,30800.0,Jakovo,2007.0,Surčin,68.0,3.0,1,3,stan,Vozda Karadjordja 1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,452.941176471,"Vozda Karadjordja 1, Beograd","(44.7604599, 20.2539209)"
691,189000.0,Cvetni trg,1938.0,Vračar,76.0,3.5,2,5,stan,Kralja Milana,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2486.84210526,"Kralja Milana, Beograd","(44.8038414, 20.4659768)"
692,27600.0,Altina,2016.0,Zemun,30.0,1.0,2,4,stan,Ugrinovački put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,920.0,"Ugrinovački put, Beograd","(44.850996, 20.3659363)"
694,29750.0,Mirijevo,2017.0,Zvezdara,36.0,1.5,,,stan,Dragoslava Srejovića,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,826.388888889,"Dragoslava Srejovića, Beograd","(44.8004066, 20.5228621)"
695,39950.0,Mirijevo,2017.0,Zvezdara,47.0,1.5,,,stan,Dragoslava Srejovića,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,850.0,"Dragoslava Srejovića, Beograd","(44.8004066, 20.5228621)"
699,134000.0,Senjak,2018.0,Savski Venac,67.0,3.0,1,3,stan,Vase Pelagića,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2000.0,"Vase Pelagića, Beograd","(44.8365557, 20.4029958)"
700,120000.0,Bogoslovija,1960.0,Palilula,90.0,3.0,8,11,stan,Bulevar Despota Stefana,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1333.33333333,"Bulevar Despota Stefana, Beograd","(44.8172775, 20.4785234)"
702,44900.0,Julino brdo,2017.0,Čukarica,36.0,1.5,5,5,stan,Marine Veličković,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1247.22222222,"Marine Veličković, Beograd","(44.7646091, 20.4088679)"
706,300000.0,Studentski trg,1936.0,Stari grad,162.0,4.5,,3,stan,Simina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1851.85185185,"Simina, Beograd","(44.8172201, 20.4631579)"
707,165000.0,Kalenić pijaca,1970.0,Vračar,102.0,3.0,1,4,stan,Tomaša Ježa,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1617.64705882,"Tomaša Ježa, Beograd","(44.8003056, 20.4788653)"
710,67000.0,Crveni krst,1990.0,Vračar,43.0,1.0,2,5,stan,Metohijska,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1558.13953488,"Metohijska, Beograd","(44.793489, 20.4935878)"
